Date,Day,Title,Start,End,Venue,Status,Source URL
2026-09-12,Saturday,Forever Country… In the Key of Spirit,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-12,Saturday,Forever Country…in the Key of Spirit!! – Fall 2026,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-18,Friday,Forever Country… In the Key of Spirit,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-18,Friday,Forever Country…in the Key of Spirit!! – Fall 2026,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-19,Saturday,Shift Happens,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-19,Saturday,Shift Happens,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-25,Friday,Forever Country… In the Key of Spirit,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-09-25,Friday,Forever Country…in the Key of Spirit!! – Fall 2026,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-10-02,Friday,Forever Country… In the Key of Spirit,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-10-02,Friday,Forever Country…in the Key of Spirit!! – Fall 2026,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-10-03,Saturday,Shift Happens,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
2026-10-03,Saturday,Shift Happens,18:30,22:30,Theatre Gower,Active,https://spiritofnewfoundland.com/show-calendar/
